date_key,ndvi_Indo,lst_Indo,precip_Indo,ndvi_Sumatera,lst_Sumatera,precip_Sumatera,ndvi_Jawa,lst_Jawa,precip_Jawa,ndvi_Kalimantan,lst_Kalimantan,precip_Kalimantan,ndvi_Sulawesi,lst_Sulawesi,precip_Sulawesi,ndvi_NusaTenggara,lst_NusaTenggara,precip_NusaTenggara,ndvi_Maluku,lst_Maluku,precip_Maluku,ndvi_Papua,lst_Papua,precip_Papua,SDCI_Indo,SDCI_Sumatera,SDCI_Jawa,SDCI_Kalimantan,SDCI_Sulawesi,SDCI_NusaTenggara,SDCI_Maluku,SDCI_Papua,Suhu_Permukaan_C,Curah_Hujan_mm,sst_nino12,sst_nino34,sst_nino4,sst,sst_anomaly,ONI
2000-01-01,5377.023,15033.525,39.70337,4881.7275,15009.135,28.505323,2643.571,15059.716,55.941986,5297.317,15080.256,49.79386,6489.744,15026.407,34.638584,4873.537,15103.846,48.27593,5720.049,15104.461,35.91198,5980.1772,14987.7705,35.357864,0.35085294,0.33530855,0.4266578,0.3202912,0.45288947,0.3797664,0.19647065,0.26474437,23.642305,367.86917,23.872076,24.756115,27.006208,25.165241,-1.4259082,-1.390393
2000-02-01,5377.023,15033.525,39.70337,4881.7275,15009.135,28.505323,2643.571,15059.716,55.941986,5297.317,15080.256,49.79386,6489.744,15026.407,34.638584,4873.537,15103.846,48.27593,5720.049,15104.461,35.91198,5980.1772,14987.7705,35.357864,0.35085294,0.33530855,0.4266578,0.3202912,0.45288947,0.3797664,0.19647065,0.26474437,24.015434,295.58682,25.627495,25.165241,26.667248,25.165241,-1.4259082,-1.390393
2000-03-01,6737.651,15009.333,44.76461,7060.2104,15073.476,41.004635,6120.585,15084.41,51.655617,6802.659,15010.844,49.29458,6884.706,14992.432,39.56899,6486.6206,14998.313,53.175766,7141.18,15003.75,44.365368,6485.5117,14918.699,41.5534,0.6092911,0.5412113,0.6921154,0.5983032,0.5693615,0.6673044,0.58132005,0.46385223,24.25451,307.47223,25.733278,26.072535,26.69653,26.072535,-1.0930629,-1.124159
2000-04-01,7083.014,14992.134,53.460083,7260.501,15055.524,51.20617,6460.221,15061.234,51.350285,7193.147,14999.234,57.95158,7071.4526,14981.531,49.24716,7313.268,14972.588,45.105255,7095.282,14942.345,50.862118,7064.663,14909.02,51.48678,0.72128564,0.6293833,0.73812985,0.6861042,0.6403232,0.76800454,0.66546834,0.5958783,24.18202,343.60376,25.79016,26.892126,27.262987,26.892126,-0.853506,-0.9498893
2000-05-01,7423.096,14995.019,43.764103,7414.0693,15050.826,30.796696,7062.056,15055.788,41.00614,7569.274,15022.928,44.64011,7369.048,14977.525,45.03877,7248.5024,14954.066,33.706696,7568.452,14965.113,44.60706,7335.7793,14902.518,55.750553,0.7284132,0.5907307,0.7723595,0.6448462,0.677735,0.7410533,0.70136845,0.6594941,24.421803,256.35962,23.833282,26.893194,27.640013,26.893194,-0.90309894,-0.8341495
2000-06-01,6998.6816,14924.274,42.891335,7569.1406,15007.007,34.14157,6884.773,15029.078,18.717379,7334.1294,14948.574,45.4652,5890.8965,14877.176,54.954292,7005.7227,14888.329,8.025089,6666.4272,14871.106,54.448082,6490.077,14804.864,53.88635,0.7682592,0.69451594,0.7334281,0.75037885,0.6057162,0.68339235,0.68958247,0.67291427,23.640282,276.00546,22.603046,26.998081,28.297808,26.998081,-0.7458435,-0.8054135
2000-07-01,6478.0073,14938.396,28.918161,6786.4346,14994.109,27.589207,6335.5713,15087.618,7.685105,6756.511,14959.735,25.001694,6114.9414,14901.176,30.040705,6673.552,14976.099,3.1635325,6612.6406,14908.729,41.9441,6050.953,14813.15,38.900608,0.6136849,0.5967407,0.6195536,0.607588,0.5351329,0.57132316,0.6023436,0.5490677,23.723099,182.11212,20.796087,26.555405,28.213913,26.555405,-0.76729804,-0.67462486
2000-08-01,7073.4414,15006.074,32.429535,7234.2197,15065.069,28.236547,5881.0815,15166.803,8.245351,7488.4272,15005.817,36.76631,7698.422,14964.451,24.487799,6241.5464,15113.617,2.6231334,7446.5747,14996.9375,21.897749,6427.542,14895.891,48.267643,0.61440736,0.53599024,0.52089924,0.64178985,0.6816729,0.42604083,0.5835692,0.5095254,23.689861,206.61102,19.92298,26.388027,28.140497,26.388027,-0.51073307,-0.60365266
2000-09-01,6603.512,15036.8125,31.232939,6438.9004,15064.219,36.36817,5225.739,15276.057,11.984545,7178.6396,15008.347,42.83341,6939.2964,15042.478,15.3903265,5699.388,15259.084,2.3286324,6800.253,15043.277,22.768148,6468.3833,14936.723,30.142159,0.49373725,0.46377322,0.38834932,0.6229391,0.44339916,0.2622036,0.4199762,0.39995047,24.241953,213.68532,20.077847,26.219555,28.343452,26.219555,-0.5329269,-0.5873354
2000-10-01,6448.8105,15059.802,46.668774,6046.7427,15077.729,44.876488,4781.0483,15250.847,36.792755,6648.102,15048.117,50.966805,7038.819,15038.726,34.756626,5548.2153,15254.995,14.296706,7177.7344,15085.361,30.810368,7161.539,14980.354,56.885796,0.49829063,0.41930053,0.4201756,0.52277833,0.5216436,0.2776059,0.45273772,0.51927567,24.206423,328.03632,20.431791,26.040789,28.00441,26.040789,-0.7183462,-0.7185277
